idade,sexo,frequencia_semanal_treino,tipo_atividade,tempo_medio_exercicio,minutos_totais_semana,preco_plano,possui_nutricionista,primeiro_PGC,ultimo_PGC,data_matricula,estado,ano_matricula,mes_matricula,imc,pgc_inicial,pgc_final,evolucao_pgc,evolucao_pgc_percentual
44,F,3.0,Yoga,88.3,264.9,176.71,Sim,33.0,20.8,2024-09-04,Ativa,2024,9,,33.0,20.8,-12.2,-36.96969696969697
24,M,5.0,Crossfit,72.3,361.5,234.14,Sim,27.4,18.4,2021-09-08,Ativa,2021,9,,27.4,18.4,-9.0,-32.846715328467155
28,F,3.0,Cardio,115.2,345.6,82.98,Sim,29.8,36.2,2025-04-01,Ativa,2025,4,,29.8,36.2,6.400000000000002,21.476510067114102
52,F,6.0,Natacao,114.2,685.2,186.69,Não,36.9,28.1,2020-11-24,Ativa,2020,11,,36.9,28.1,-8.799999999999997,-23.84823848238482
33,F,4.0,Natação,114.8,459.2,58.5,Não,28.2,39.6,2023-05-19,Ativa,2023,5,,28.2,39.6,11.400000000000002,40.425531914893625
38,M,4.0,Cardio,26.9,107.6,67.17,Não,34.7,34.1,2021-04-02,Ativa,2021,4,,34.7,34.1,-0.6000000000000014,-1.7291066282420788
28,F,6.0,Futebol,116.1,696.6,175.74,Sim,19.6,27.9,2023-09-20,Ativa,2023,9,,19.6,27.9,8.299999999999997,42.34693877551018
27,M,7.0,Musculação,47.3,331.1,133.74,Não,14.6,10.5,2024-11-06,Ativa,2024,11,,14.6,10.5,-4.1,-28.082191780821912
62,M,3.0,Natação,35.6,106.8,178.59,Não,21.2,31.0,2022-07-21,Ativa,2022,7,,21.2,31.0,9.8,46.22641509433963
56,F,5.0,Musculação,82.7,413.5,200.92,Não,27.1,32.0,2020-07-19,Ativa,2020,7,,27.1,32.0,4.899999999999999,18.08118081180811
34,F,6.0,Cardio,113.9,683.4,117.6,Sim,14.0,31.7,2024-07-04,Ativa,2024,7,,14.0,31.7,17.7,126.42857142857142
45,M,6.0,Cardio,,,245.24,Não,22.7,20.6,2022-08-27,Ativa,2022,8,,22.7,20.6,-2.099999999999998,-9.251101321585894
25,M,3.0,Musculação,63.7,191.1,97.23,Sim,30.0,23.5,2022-04-02,Ativa,2022,4,,30.0,23.5,-6.5,-21.666666666666668
63,M,7.0,Natação,,,266.84,Não,32.2,27.7,2021-11-21,Ativa,2021,11,,32.2,27.7,-4.5000000000000036,-13.975155279503115
62,M,5.0,Natação,61.1,305.5,112.43,Sim,39.3,16.8,2020-07-21,Ativa,2020,7,,39.3,16.8,-22.499999999999996,-57.25190839694656
42,F,7.0,Musculação,95.2,666.4,254.19,Não,10.4,15.1,2024-12-31,Ativa,2024,12,,10.4,15.1,4.699999999999999,45.19230769230768
59,F,6.0,Crossfit,44.1,264.6,138.08,Não,15.0,35.4,2024-03-23,Ativa,2024,3,,15.0,35.4,20.4,136.0
63,M,0.0,Crossfit,45.9,0.0,207.14,Sim,27.0,37.7,2023-03-07,Sedentária,2023,3,,27.0,37.7,10.700000000000003,39.62962962962964
53,F,3.0,Yoga,86.5,259.5,258.39,Não,30.0,39.9,2024-03-03,Ativa,2024,3,,30.0,39.9,9.899999999999999,32.99999999999999
57,F,0.0,Musculação,116.5,0.0,237.93,Sim,38.7,29.1,2023-12-22,Sedentária,2023,12,,38.7,29.1,-9.600000000000001,-24.8062015503876
35,M,3.0,Yoga,32.4,97.2,62.93,Não,11.3,30.0,2025-01-20,Ativa,2025,1,,11.3,30.0,18.7,165.4867256637168
53,M,6.0,Cardio,60.9,365.4,205.06,Sim,11.3,14.8,2020-12-21,Ativa,2020,12,,11.3,14.8,3.5,30.973451327433626
39,M,0.0,Crossfit,23.9,0.0,142.83,Não,16.3,19.3,2025-07-31,Sedentária,2025,7,,16.3,19.3,3.0,18.404907975460123
61,M,4.0,Crossfit,24.6,98.4,82.94,Não,32.0,16.4,2020-11-07,Ativa,2020,11,,32.0,16.4,-15.600000000000001,-48.75000000000001
30,M,4.0,Musculação,70.0,280.0,266.74,Sim,20.8,29.8,2023-10-17,Ativa,2023,10,,20.8,29.8,9.0,43.26923076923077
30,F,2.0,Cardio,82.5,165.0,237.74,Não,17.2,19.3,2025-07-23,Ativa,2025,7,,17.2,19.3,2.1000000000000014,12.209302325581405
21,F,0.0,Futebol,69.7,0.0,132.41,Sim,13.4,35.0,2023-03-31,Sedentária,2023,3,,13.4,35.0,21.6,161.19402985074626
64,F,4.0,Futebol,47.8,191.2,83.66,Não,39.8,24.9,2021-03-25,Ativa,2021,3,,39.8,24.9,-14.899999999999999,-37.437185929648244
28,M,0.0,Crossfit,83.8,0.0,64.35,Não,11.5,20.5,2023-10-07,Sedentária,2023,10,,11.5,20.5,9.0,78.26086956521739
64,M,7.0,Crossfit,53.2,372.4,184.36,Não,21.5,21.8,2024-06-23,Ativa,2024,6,,21.5,21.8,0.3000000000000007,1.3953488372093057
63,M,2.0,Crossfit,116.4,232.8,214.37,Sim,35.9,24.4,2025-03-26,Ativa,2025,3,,35.9,24.4,-11.5,-32.03342618384401
29,F,2.0,Crossfit,85.8,171.6,176.56,Sim,15.1,32.6,2022-03-08,Ativa,2022,3,,15.1,32.6,17.5,115.89403973509933
41,M,6.0,Musculação,57.3,343.8,235.76,Sim,13.6,37.6,2023-04-05,Ativa,2023,4,,13.6,37.6,24.0,176.47058823529412
43,F,1.0,Crossfit,47.1,47.1,165.95,Não,36.0,12.8,2020-04-17,Ativa,2020,4,,36.0,12.8,-23.2,-64.44444444444444
54,M,,Crossfit,91.4,,284.36,Não,20.6,26.4,2021-02-28,Sedentária,2021,2,,20.6,26.4,5.799999999999997,28.155339805825225
29,M,2.0,Musculação,113.0,226.0,247.27,Sim,36.6,19.1,2024-04-08,Ativa,2024,4,,36.6,19.1,-17.5,-47.81420765027322
40,F,6.0,Musculação,80.4,482.4,173.46,Sim,25.1,35.4,2025-03-07,Ativa,2025,3,,25.1,35.4,10.299999999999997,41.03585657370517
18,M,7.0,Cardio,62.9,440.3,199.37,Não,16.8,36.0,2021-11-08,Ativa,2021,11,,16.8,36.0,19.2,114.28571428571428
31,M,6.0,Natação,89.9,539.4,284.14,Sim,39.3,17.6,2025-06-11,Ativa,2025,6,,39.3,17.6,-21.699999999999996,-55.21628498727734
54,F,2.0,Futebol,110.6,221.2,293.1,Não,32.1,10.2,2025-04-08,Ativa,2025,4,,32.1,10.2,-21.900000000000002,-68.22429906542057
53,M,4.0,Futebol,73.4,293.6,218.65,Não,33.1,22.5,2022-04-16,Ativa,2022,4,,33.1,22.5,-10.600000000000001,-32.02416918429004
44,M,5.0,Crossfit,63.0,315.0,197.3,Não,33.4,13.6,2021-10-09,Ativa,2021,10,,33.4,13.6,-19.799999999999997,-59.281437125748496
56,M,7.0,Yoga,87.5,612.5,264.61,Sim,30.3,27.0,2025-04-26,Ativa,2025,4,,30.3,27.0,-3.3000000000000007,-10.891089108910894
37,F,5.0,Futebol,60.5,302.5,74.13,Não,28.3,15.2,2020-03-28,Ativa,2020,3,,28.3,15.2,-13.100000000000001,-46.28975265017668
34,M,7.0,Yoga,96.0,672.0,133.92,Não,31.4,24.8,2023-01-05,Ativa,2023,1,,31.4,24.8,-6.599999999999998,-21.019108280254773
60,M,5.0,Yoga,47.7,238.5,119.36,Não,31.2,18.9,2022-07-17,Ativa,2022,7,,31.2,18.9,-12.3,-39.42307692307693
35,M,6.0,Natação,87.8,526.8,67.0,Não,27.0,34.7,2021-10-19,Ativa,2021,10,,27.0,34.7,7.700000000000003,28.518518518518526
53,M,3.0,Crossfit,65.7,197.1,109.02,Sim,20.2,17.1,2023-05-17,Ativa,2023,5,,20.2,17.1,-3.099999999999998,-15.346534653465335
59,F,2.0,Crossfit,38.0,76.0,121.55,Não,39.4,35.0,2022-01-10,Ativa,2022,1,,39.4,35.0,-4.399999999999999,-11.167512690355327
20,M,,Crossfit,22.1,,213.46,Sim,35.3,25.3,2025-07-27,Sedentária,2025,7,,35.3,25.3,-9.999999999999996,-28.32861189801699
55,M,2.0,Futebol,117.7,235.4,246.02,Não,11.3,16.4,2021-07-29,Ativa,2021,7,,11.3,16.4,5.099999999999998,45.13274336283183
41,M,2.0,Crossfit,42.3,84.6,286.25,Sim,36.4,36.3,2022-03-17,Ativa,2022,3,,36.4,36.3,-0.10000000000000142,-0.27472527472527863
56,M,4.0,Crossfit,44.3,177.2,91.67,Sim,31.2,38.0,2021-02-20,Ativa,2021,2,,31.2,38.0,6.800000000000001,21.7948717948718
33,M,4.0,Crossfit,,,60.35,Não,17.9,33.2,2025-09-08,Ativa,2025,9,,17.9,33.2,15.300000000000004,85.47486033519556
36,M,4.0,Futebol,51.7,206.8,221.25,Não,25.3,38.0,2021-03-10,Ativa,2021,3,,25.3,38.0,12.7,50.19762845849802
23,F,3.0,Crossfit,36.8,110.4,286.46,Sim,20.6,31.9,2021-07-30,Ativa,2021,7,,20.6,31.9,11.299999999999997,54.854368932038824
25,M,5.0,Futebol,34.9,174.5,270.0,Não,23.3,31.8,2022-03-20,Ativa,2022,3,,23.3,31.8,8.5,36.48068669527897
37,M,5.0,Crossfit,47.4,237.0,74.58,Sim,36.1,11.4,2022-08-13,Ativa,2022,8,,36.1,11.4,-24.700000000000003,-68.42105263157895
38,M,7.0,Musculação,51.6,361.2,267.99,Sim,35.0,19.5,2023-05-31,Ativa,2023,5,,35.0,19.5,-15.5,-44.285714285714285
33,M,3.0,Cardio,70.7,212.1,56.83,Não,39.5,19.5,2022-03-10,Ativa,2022,3,,39.5,19.5,-20.0,-50.63291139240506
33,F,1.0,Cardio,73.1,73.1,247.24,Sim,14.8,12.4,2020-07-12,Ativa,2020,7,,14.8,12.4,-2.4000000000000004,-16.216216216216218
18,M,7.0,Cardio,,,155.25,Não,23.6,21.8,2020-11-08,Ativa,2020,11,,23.6,21.8,-1.8000000000000007,-7.6271186440677985
27,M,1.0,Natação,58.0,58.0,170.14,Não,39.2,22.4,2023-12-12,Ativa,2023,12,,39.2,22.4,-16.800000000000004,-42.85714285714287
45,M,0.0,Crossfit,88.5,0.0,86.94,Sim,29.6,27.8,2023-04-14,Sedentária,2023,4,,29.6,27.8,-1.8000000000000007,-6.081081081081083
43,F,2.0,Musculação,31.9,63.8,54.78,Não,21.7,39.6,2021-08-14,Ativa,2021,8,,21.7,39.6,17.900000000000002,82.48847926267283
37,M,4.0,Futebol,21.8,87.2,292.44,Não,30.6,26.0,2023-03-05,Ativa,2023,3,,30.6,26.0,-4.600000000000001,-15.032679738562097
47,F,1.0,Soccer,81.0,81.0,133.92,Não,13.4,10.8,2020-05-28,Ativa,2020,5,,13.4,10.8,-2.5999999999999996,-19.402985074626862
18,F,4.0,Yoga,34.6,138.4,211.34,Não,19.0,11.6,2022-05-24,Ativa,2022,5,,19.0,11.6,-7.4,-38.94736842105264
33,M,5.0,Crossfit,23.7,118.5,107.99,Não,37.7,21.4,2024-02-22,Ativa,2024,2,,37.7,21.4,-16.300000000000004,-43.23607427055704
44,M,5.0,Cardio,51.7,258.5,252.38,Não,36.2,24.6,2024-04-22,Ativa,2024,4,,36.2,24.6,-11.600000000000001,-32.04419889502763
41,M,0.0,Cardio,51.6,0.0,227.1,Não,18.9,20.1,2024-05-20,Sedentária,2024,5,,18.9,20.1,1.2000000000000028,6.349206349206364
42,M,4.0,Musculação,27.1,108.4,63.98,Não,39.0,11.2,2021-07-23,Ativa,2021,7,,39.0,11.2,-27.8,-71.28205128205128
38,F,,Musculação,41.0,,174.41,Não,32.7,17.9,2022-04-23,Sedentária,2022,4,,32.7,17.9,-14.800000000000004,-45.2599388379205
52,F,0.0,Cardio,34.9,0.0,258.48,Não,13.7,28.8,2021-08-21,Sedentária,2021,8,,13.7,28.8,15.100000000000001,110.2189781021898
30,M,5.0,Musculação,20.6,103.0,175.49,Não,12.5,15.4,2023-07-18,Ativa,2023,7,,12.5,15.4,2.9000000000000004,23.200000000000003
52,M,4.0,Crossfit,39.7,158.8,249.53,Sim,32.4,28.5,2020-04-08,Ativa,2020,4,,32.4,28.5,-3.8999999999999986,-12.037037037037033
49,M,0.0,Cardio,75.0,0.0,206.8,Sim,28.2,17.9,2023-07-28,Sedentária,2023,7,,28.2,17.9,-10.3,-36.52482269503546
38,M,3.0,Cardio,106.8,320.4,273.77,Sim,16.1,18.9,2021-11-07,Ativa,2021,11,,16.1,18.9,2.799999999999997,17.39130434782607
52,M,3.0,Crossfit,68.9,206.7,122.92,Sim,23.6,21.7,2024-06-17,Ativa,2024,6,,23.6,21.7,-1.9000000000000021,-8.050847457627128
22,M,3.0,Futebol,77.2,231.6,134.71,Não,29.4,15.7,2023-05-30,Ativa,2023,5,,29.4,15.7,-13.7,-46.59863945578231
21,M,1.0,Futebol,115.7,115.7,247.15,Sim,18.6,17.1,2022-07-06,Ativa,2022,7,,18.6,17.1,-1.5,-8.064516129032258
64,M,4.0,Crossfit,54.3,217.2,132.65,Sim,14.7,23.2,2023-09-21,Ativa,2023,9,,14.7,23.2,8.5,57.82312925170068
55,M,2.0,Musculação,52.8,105.6,68.84,Não,38.2,29.9,2021-09-05,Ativa,2021,9,,38.2,29.9,-8.300000000000004,-21.727748691099485
45,F,0.0,Cardio,97.3,0.0,235.39,Sim,18.2,21.3,2021-06-01,Sedentária,2021,6,,18.2,21.3,3.1000000000000014,17.032967032967044
31,M,2.0,Yoga,82.1,164.2,165.23,Sim,10.8,37.5,2020-06-13,Ativa,2020,6,,10.8,37.5,26.7,247.2222222222222
29,M,3.0,Natação,60.0,180.0,229.87,Não,38.6,19.0,2022-07-08,Ativa,2022,7,,38.6,19.0,-19.6,-50.77720207253886
29,M,4.0,Cardio,98.7,394.8,215.96,Não,18.2,13.6,2020-06-02,Ativa,2020,6,,18.2,13.6,-4.6,-25.274725274725274
50,M,5.0,Cardio,106.8,534.0,104.04,Sim,15.9,15.2,2024-12-30,Ativa,2024,12,,15.9,15.2,-0.7000000000000011,-4.402515723270447
38,F,7.0,Cardio,105.0,735.0,186.04,Não,11.0,22.0,2025-02-28,Ativa,2025,2,,11.0,22.0,11.0,100.0
18,F,5.0,Musculação,116.0,580.0,104.44,Não,21.7,38.2,2021-07-15,Ativa,2021,7,,21.7,38.2,16.500000000000004,76.03686635944702
29,M,1.0,Yoga,109.8,109.8,64.68,Não,24.5,27.0,2022-06-22,Ativa,2022,6,,24.5,27.0,2.5,10.204081632653061
43,M,4.0,Futebol,87.0,348.0,78.3,Não,15.2,38.7,2021-06-04,Ativa,2021,6,,15.2,38.7,23.500000000000004,154.60526315789477
51,F,2.0,Yoga,48.9,97.8,240.18,Não,30.4,38.2,2022-05-28,Ativa,2022,5,,30.4,38.2,7.800000000000004,25.657894736842117
52,M,4.0,Futebol,43.2,172.8,223.0,Não,18.6,19.9,2023-11-08,Ativa,2023,11,,18.6,19.9,1.2999999999999972,6.989247311827941
27,M,0.0,Futebol,20.9,0.0,103.76,Sim,18.9,25.3,2022-12-23,Sedentária,2022,12,,18.9,25.3,6.400000000000002,33.862433862433875
42,M,6.0,Cardio,71.0,426.0,162.15,Não,31.6,26.2,2022-06-17,Ativa,2022,6,,31.6,26.2,-5.400000000000002,-17.088607594936715
62,F,2.0,Yoga,35.0,70.0,284.59,Não,32.5,12.6,2020-12-06,Ativa,2020,12,,32.5,12.6,-19.9,-61.23076923076922
23,M,4.0,Musculação,77.7,310.8,147.17,Sim,27.8,17.4,2025-03-23,Ativa,2025,3,,27.8,17.4,-10.400000000000002,-37.41007194244605
54,M,4.0,Natação,113.1,452.4,196.02,Não,29.9,36.1,2020-11-02,Ativa,2020,11,,29.9,36.1,6.200000000000003,20.73578595317727
64,M,6.0,Crossfit,63.8,382.8,290.94,Sim,13.2,27.9,2020-09-22,Ativa,2020,9,,13.2,27.9,14.7,111.36363636363636
18,M,5.0,Musculação,23.2,116.0,103.56,Não,27.3,37.4,2023-08-08,Ativa,2023,8,,27.3,37.4,10.099999999999998,36.996336996336986
38,M,3.0,Cardio,64.1,192.3,165.03,Sim,15.9,11.0,2020-03-30,Ativa,2020,3,,15.9,11.0,-4.9,-30.817610062893085
39,F,6.0,Natação,48.9,293.4,108.52,Não,18.2,39.0,2022-01-20,Ativa,2022,1,,18.2,39.0,20.8,114.2857142857143
24,F,0.0,Yoga,34.1,0.0,178.44,Sim,39.7,10.0,2025-08-12,Sedentária,2025,8,,39.7,10.0,-29.700000000000003,-74.81108312342569
44,M,1.0,Musculação,45.9,45.9,216.86,Não,27.3,10.6,2022-11-13,Ativa,2022,11,,27.3,10.6,-16.700000000000003,-61.172161172161175
46,M,5.0,Futebol,78.1,390.5,128.02,Não,11.5,29.7,2021-11-18,Ativa,2021,11,,11.5,29.7,18.2,158.26086956521738
63,M,,Musculação,26.6,,185.37,Sim,25.9,16.9,2021-03-17,Sedentária,2021,3,,25.9,16.9,-9.0,-34.74903474903475
44,M,3.0,Yoga,,,288.43,Sim,30.8,32.9,2020-10-17,Ativa,2020,10,,30.8,32.9,2.099999999999998,6.81818181818181
47,M,3.0,Musculação,25.3,75.9,221.4,Não,17.0,15.7,2024-05-07,Ativa,2024,5,,17.0,15.7,-1.3000000000000007,-7.647058823529417
36,M,0.0,Natação,105.6,0.0,53.2,Não,36.7,33.3,2024-03-02,Sedentária,2024,3,,36.7,33.3,-3.4000000000000057,-9.264305177111732
29,M,4.0,Musculação,91.0,364.0,91.91,Não,28.7,21.9,2024-01-12,Ativa,2024,1,,28.7,21.9,-6.800000000000001,-23.693379790940767
50,F,3.0,Cardio,28.3,84.9,155.83,Não,15.4,24.8,2023-11-06,Ativa,2023,11,,15.4,24.8,9.4,61.038961038961034
44,F,0.0,Cardio,32.0,0.0,70.31,Não,22.6,23.5,2025-03-25,Sedentária,2025,3,,22.6,23.5,0.8999999999999986,3.982300884955746
46,M,0.0,Musculação,24.6,0.0,201.72,Não,38.4,19.5,2024-07-07,Sedentária,2024,7,,38.4,19.5,-18.9,-49.21875
60,M,4.0,Musculação,74.2,296.8,190.54,Não,27.8,34.3,2023-05-03,Ativa,2023,5,,27.8,34.3,6.4999999999999964,23.381294964028765
18,M,3.0,Yoga,119.7,359.1,100.45,Sim,35.2,32.5,2022-12-23,Ativa,2022,12,,35.2,32.5,-2.700000000000003,-7.670454545454552
28,F,7.0,Cardio,39.9,279.3,192.94,Não,26.0,23.9,2024-03-10,Ativa,2024,3,,26.0,23.9,-2.1000000000000014,-8.076923076923084
29,F,6.0,Yoga,76.9,461.4,192.39,Não,24.9,29.3,2023-06-23,Ativa,2023,6,,24.9,29.3,4.400000000000002,17.670682730923705
55,M,1.0,Yoga,60.7,60.7,50.63,Sim,31.5,15.8,2023-07-07,Ativa,2023,7,,31.5,15.8,-15.7,-49.841269841269835
34,F,1.0,Futebol,,,158.85,Não,26.7,22.2,2025-06-16,Ativa,2025,6,,26.7,22.2,-4.5,-16.853932584269664
57,M,7.0,Musculação,51.3,359.1,188.9,Não,36.0,36.2,2025-06-23,Ativa,2025,6,,36.0,36.2,0.20000000000000284,0.5555555555555635
58,F,3.0,Yoga,116.1,348.3,107.6,Não,23.5,29.1,2022-01-05,Ativa,2022,1,,23.5,29.1,5.600000000000001,23.82978723404256
28,M,7.0,Cardio,88.4,618.8,84.13,Sim,14.7,29.9,2020-02-03,Ativa,2020,2,,14.7,29.9,15.2,103.4013605442177
62,F,4.0,Futebol,38.3,153.2,58.6,Não,16.8,34.8,2022-02-19,Ativa,2022,2,,16.8,34.8,17.999999999999996,107.14285714285711
20,F,,Musculação,51.2,,231.46,Não,27.3,32.0,2021-12-09,Sedentária,2021,12,,27.3,32.0,4.699999999999999,17.216117216117212
